index,date
4674,20200708
4675,20200709
4676,20200710
4677,20200713
4678,20200714
4679,20200715
4680,20200716
4681,20200717
4682,20200720
4683,20200721
4684,20200722
4685,20200723
4686,20200724
4687,20200727
4688,20200728
4689,20200729
4690,20200730
4691,20200731
4692,20200803
4693,20200804
4694,20200805
4695,20200806
4696,20200807
4697,20200810
4698,20200811
4699,20200812
4700,20200813
4701,20200814
4702,20200817
4703,20200818
4704,20200819
4705,20200820
4706,20200821
4707,20200824
4708,20200825
4709,20200826
4710,20200827
4711,20200828
4712,20200831
4713,20200901
4714,20200902
4715,20200903
4716,20200904
4717,20200907
4718,20200908
4719,20200909
4720,20200910
4721,20200911
4722,20200914
4723,20200915
4724,20200916
4725,20200917
4726,20200918
4727,20200921
4728,20200922
4729,20200923
4730,20200924
4731,20200925
4732,20200928
4733,20200929
4734,20200930
4735,20201001
4736,20201002
4737,20201005
4738,20201006
4739,20201007
4740,20201008
4741,20201009
4742,20201012
4743,20201013
4744,20201014
4745,20201015
4746,20201016
4747,20201019
4748,20201020
4749,20201021
4750,20201022
4751,20201023
4752,20201026
4753,20201027
4754,20201028
4755,20201029
4756,20201030
4757,20201102
4758,20201103
4759,20201104
4760,20201105
4761,20201106
4762,20201109
4763,20201110
4764,20201111
4765,20201112
4767,20201114
4768,20201113
4769,20201116
4770,20201117
4771,20201118
4772,20201119
4773,20201120
4774,20201123
4775,20201124
4776,20201125
4777,20201126
4778,20201127
4779,20201130
4780,20201201
4781,20201202
4782,20201203
4783,20201204
4784,20201207
4785,20201208
4786,20201209
4787,20201210
4788,20201211
4789,20201214
4790,20201215
4791,20201216
4792,20201217
4793,20201218
4794,20201221
4795,20201222
4796,20201223
4797,20201224
4798,20201225
4799,20201228
4800,20201229
4801,20201230
4802,20201231
4803,20210101
4804,20210104
4805,20210105
4806,20210106
4807,20210107
4808,20210108
4809,20210111
4810,20210112
4811,20210113
4812,20210114
4813,20210115
4814,20210118
4815,20210119
4816,20210120
4817,20210121
4818,20210122
4819,20210125
4820,20210126
4821,20210127
4822,20210128
4823,20210129
4824,20210201
4825,20210202
4826,20210203
4827,20210204
4828,20210205
4829,20210208
4830,20210209
4831,20210210
4832,20210211
4833,20210212
4834,20210215
4835,20210216
4836,20210217
4837,20210218
4838,20210219
4839,20210222
4840,20210223
4841,20210224
4842,20210225
4843,20210226
4844,20210301
4845,20210302
4846,20210303
4847,20210304
4848,20210305
4849,20210308
4850,20210309
4851,20210310
4852,20210311
4853,20210312
4854,20210315
4855,20210316
4856,20210317
4857,20210318
4858,20210319
4859,20210322
4860,20210323
4861,20210324
4862,20210325
4863,20210326
4864,20210329
4865,20210330
4866,20210331
4867,20210401
4868,20210402
4869,20210405
4870,20210406
4871,20210407
4872,20210408
4873,20210409
4874,20210412
4875,20210413
4876,20210414
4877,20210415
4878,20210416
4879,20210419
4880,20210420
4881,20210421
4882,20210422
4883,20210423
4884,20210426
4885,20210427
4886,20210428
4887,20210429
4888,20210430
4889,20210503
4890,20210504
4891,20210505
4892,20210506
4893,20210507
4894,20210510
4895,20210511
4896,20210512
4897,20210513
4898,20210514
4899,20210517
4900,20210518
